starttime	seconds	ctime	dtime	ttime	wait
Wed Sep 08 17:37:48 2021	1631115468	0	43	43	41
Wed Sep 08 17:37:40 2021	1631115460	0	48	48	47
Wed Sep 08 17:37:56 2021	1631115476	0	48	49	48
Wed Sep 08 17:37:38 2021	1631115458	6	44	51	44
Wed Sep 08 17:37:40 2021	1631115460	0	53	53	52
Wed Sep 08 17:37:38 2021	1631115458	0	55	55	55
Wed Sep 08 17:37:53 2021	1631115473	0	57	57	56
Wed Sep 08 17:37:49 2021	1631115469	0	58	58	57
Wed Sep 08 17:37:56 2021	1631115476	0	58	58	58
Wed Sep 08 17:37:49 2021	1631115469	0	62	62	62
Wed Sep 08 17:37:38 2021	1631115458	6	56	62	56
Wed Sep 08 17:37:49 2021	1631115469	0	65	65	64
Wed Sep 08 17:37:44 2021	1631115464	0	67	67	67
Wed Sep 08 17:37:39 2021	1631115459	1	71	72	70
Wed Sep 08 17:37:49 2021	1631115469	0	84	84	57
Wed Sep 08 17:37:40 2021	1631115460	0	89	89	88
Wed Sep 08 17:37:45 2021	1631115465	0	89	89	88
Wed Sep 08 17:37:38 2021	1631115458	0	94	94	93
Wed Sep 08 17:37:40 2021	1631115460	0	94	94	93
Wed Sep 08 17:37:49 2021	1631115469	0	94	94	93
Wed Sep 08 17:37:40 2021	1631115460	0	94	94	93
Wed Sep 08 17:37:56 2021	1631115476	0	95	95	70
Wed Sep 08 17:37:49 2021	1631115469	0	95	96	95
Wed Sep 08 17:37:55 2021	1631115475	0	96	96	96
Wed Sep 08 17:37:40 2021	1631115460	0	100	100	99
Wed Sep 08 17:37:55 2021	1631115475	0	100	100	100
Wed Sep 08 17:37:55 2021	1631115475	0	100	100	100
Wed Sep 08 17:37:38 2021	1631115458	7	94	101	94
Wed Sep 08 17:37:38 2021	1631115458	6	97	103	96
Wed Sep 08 17:37:54 2021	1631115474	0	103	103	103
Wed Sep 08 17:37:55 2021	1631115475	0	106	106	106
Wed Sep 08 17:37:54 2021	1631115474	0	107	107	106
Wed Sep 08 17:37:40 2021	1631115460	0	110	110	92
Wed Sep 08 17:37:54 2021	1631115474	0	115	115	114
Wed Sep 08 17:37:50 2021	1631115470	0	116	116	112
Wed Sep 08 17:37:38 2021	1631115458	7	109	116	109
Wed Sep 08 17:37:49 2021	1631115469	0	117	117	117
Wed Sep 08 17:37:40 2021	1631115460	0	118	118	117
Wed Sep 08 17:37:46 2021	1631115466	0	119	119	110
Wed Sep 08 17:37:50 2021	1631115470	0	120	120	120
Wed Sep 08 17:37:43 2021	1631115463	0	123	123	56
Wed Sep 08 17:37:48 2021	1631115468	0	124	124	123
Wed Sep 08 17:37:40 2021	1631115460	0	126	126	125
Wed Sep 08 17:37:49 2021	1631115469	0	127	127	126
Wed Sep 08 17:37:50 2021	1631115470	0	128	128	127
Wed Sep 08 17:37:40 2021	1631115460	0	128	128	127
Wed Sep 08 17:37:56 2021	1631115476	0	129	129	128
Wed Sep 08 17:37:49 2021	1631115469	0	129	129	128
Wed Sep 08 17:37:50 2021	1631115470	0	132	132	76
Wed Sep 08 17:37:55 2021	1631115475	0	134	134	134
Wed Sep 08 17:37:47 2021	1631115467	0	135	135	134
Wed Sep 08 17:37:47 2021	1631115467	0	135	135	134
Wed Sep 08 17:37:50 2021	1631115470	0	136	136	136
Wed Sep 08 17:37:38 2021	1631115458	0	138	139	138
Wed Sep 08 17:37:40 2021	1631115460	0	139	139	138
Wed Sep 08 17:37:55 2021	1631115475	0	139	139	139
Wed Sep 08 17:37:55 2021	1631115475	0	140	140	139
Wed Sep 08 17:37:40 2021	1631115460	0	143	143	143
Wed Sep 08 17:37:49 2021	1631115469	0	147	148	146
Wed Sep 08 17:37:40 2021	1631115460	0	148	148	147
Wed Sep 08 17:37:49 2021	1631115469	0	149	149	105
Wed Sep 08 17:37:56 2021	1631115476	0	150	150	149
Wed Sep 08 17:37:55 2021	1631115475	0	152	152	151
Wed Sep 08 17:37:38 2021	1631115458	7	146	153	145
Wed Sep 08 17:37:38 2021	1631115458	6	154	161	154
Wed Sep 08 17:37:38 2021	1631115458	7	159	166	159
Wed Sep 08 17:37:47 2021	1631115467	0	167	167	167
Wed Sep 08 17:37:38 2021	1631115458	4	165	169	165
Wed Sep 08 17:37:44 2021	1631115464	0	171	171	169
Wed Sep 08 17:37:50 2021	1631115470	0	171	171	170
Wed Sep 08 17:37:56 2021	1631115476	0	172	172	171
Wed Sep 08 17:37:40 2021	1631115460	0	173	173	172
Wed Sep 08 17:37:38 2021	1631115458	6	169	175	169
Wed Sep 08 17:37:38 2021	1631115458	4	172	176	171
Wed Sep 08 17:37:40 2021	1631115460	0	179	179	179
Wed Sep 08 17:37:47 2021	1631115467	0	183	183	182
Wed Sep 08 17:37:50 2021	1631115470	0	184	184	183
Wed Sep 08 17:37:38 2021	1631115458	0	185	185	184
Wed Sep 08 17:37:50 2021	1631115470	0	192	192	191
