starttime	seconds	ctime	dtime	ttime	wait
Wed Sep 08 17:35:44 2021	1631115344	0	33	33	31
Wed Sep 08 17:35:30 2021	1631115330	0	36	36	35
Wed Sep 08 17:35:39 2021	1631115339	0	44	45	43
Wed Sep 08 17:35:35 2021	1631115335	0	45	45	45
Wed Sep 08 17:35:30 2021	1631115330	0	48	48	43
Wed Sep 08 17:35:30 2021	1631115330	0	51	51	50
Wed Sep 08 17:35:29 2021	1631115329	0	55	55	54
Wed Sep 08 17:35:44 2021	1631115344	0	59	59	58
Wed Sep 08 17:35:31 2021	1631115331	0	62	62	61
Wed Sep 08 17:35:35 2021	1631115335	0	62	62	61
Wed Sep 08 17:35:42 2021	1631115342	0	66	66	64
Wed Sep 08 17:35:29 2021	1631115329	0	68	68	67
Wed Sep 08 17:35:29 2021	1631115329	0	68	68	68
Wed Sep 08 17:35:29 2021	1631115329	0	69	69	69
Wed Sep 08 17:35:35 2021	1631115335	0	71	71	69
Wed Sep 08 17:35:42 2021	1631115342	0	73	73	72
Wed Sep 08 17:35:40 2021	1631115340	0	73	73	73
Wed Sep 08 17:35:31 2021	1631115331	0	77	77	77
Wed Sep 08 17:35:43 2021	1631115343	0	80	80	79
Wed Sep 08 17:35:29 2021	1631115329	0	80	80	79
Wed Sep 08 17:35:42 2021	1631115342	0	82	82	81
Wed Sep 08 17:35:29 2021	1631115329	0	85	85	84
Wed Sep 08 17:35:34 2021	1631115334	0	88	88	87
Wed Sep 08 17:35:41 2021	1631115341	0	89	89	89
Wed Sep 08 17:35:35 2021	1631115335	0	91	91	90
Wed Sep 08 17:35:29 2021	1631115329	0	93	93	92
Wed Sep 08 17:35:44 2021	1631115344	0	94	94	93
Wed Sep 08 17:35:43 2021	1631115343	0	97	97	96
Wed Sep 08 17:35:32 2021	1631115332	0	97	97	97
Wed Sep 08 17:35:44 2021	1631115344	0	103	103	102
Wed Sep 08 17:35:40 2021	1631115340	0	104	104	103
Wed Sep 08 17:35:43 2021	1631115343	0	104	104	104
Wed Sep 08 17:35:29 2021	1631115329	0	126	127	126
Wed Sep 08 17:35:40 2021	1631115340	0	131	131	130
Wed Sep 08 17:35:44 2021	1631115344	0	138	138	138
Wed Sep 08 17:35:40 2021	1631115340	0	144	144	144
Wed Sep 08 17:35:39 2021	1631115339	0	145	145	145
Wed Sep 08 17:35:38 2021	1631115338	0	154	154	153
Wed Sep 08 17:35:40 2021	1631115340	0	156	156	155
Wed Sep 08 17:35:44 2021	1631115344	0	157	157	156
Wed Sep 08 17:35:44 2021	1631115344	0	158	158	157
Wed Sep 08 17:35:35 2021	1631115335	0	158	158	157
Wed Sep 08 17:35:38 2021	1631115338	0	163	163	163
Wed Sep 08 17:35:33 2021	1631115333	0	164	164	163
Wed Sep 08 17:35:33 2021	1631115333	0	165	165	164
Wed Sep 08 17:35:40 2021	1631115340	0	168	168	167
Wed Sep 08 17:35:40 2021	1631115340	0	168	168	167
Wed Sep 08 17:35:41 2021	1631115341	0	171	172	171
Wed Sep 08 17:35:34 2021	1631115334	0	171	172	171
Wed Sep 08 17:35:40 2021	1631115340	0	172	172	172
Wed Sep 08 17:35:40 2021	1631115340	0	174	174	173
Wed Sep 08 17:35:44 2021	1631115344	0	175	175	175
Wed Sep 08 17:35:32 2021	1631115332	0	175	175	175
Wed Sep 08 17:35:41 2021	1631115341	0	181	181	180
Wed Sep 08 17:35:27 2021	1631115327	7	177	184	177
Wed Sep 08 17:35:34 2021	1631115334	0	184	184	184
Wed Sep 08 17:35:27 2021	1631115327	7	179	186	178
Wed Sep 08 17:35:44 2021	1631115344	0	186	186	185
Wed Sep 08 17:35:40 2021	1631115340	0	187	187	186
Wed Sep 08 17:35:40 2021	1631115340	0	191	192	191
Wed Sep 08 17:35:34 2021	1631115334	0	192	192	191
Wed Sep 08 17:35:39 2021	1631115339	0	193	193	191
Wed Sep 08 17:35:41 2021	1631115341	0	194	194	193
Wed Sep 08 17:35:40 2021	1631115340	0	201	201	199
Wed Sep 08 17:35:40 2021	1631115340	0	205	205	205
Wed Sep 08 17:35:40 2021	1631115340	5	202	207	201
Wed Sep 08 17:35:40 2021	1631115340	0	208	208	207
Wed Sep 08 17:35:41 2021	1631115341	0	209	209	209
Wed Sep 08 17:35:39 2021	1631115339	0	211	211	211
Wed Sep 08 17:35:44 2021	1631115344	0	211	211	211
Wed Sep 08 17:35:30 2021	1631115330	0	213	213	213
Wed Sep 08 17:35:41 2021	1631115341	0	216	216	215
Wed Sep 08 17:35:41 2021	1631115341	0	216	216	215
Wed Sep 08 17:35:43 2021	1631115343	0	218	218	217
Wed Sep 08 17:35:40 2021	1631115340	0	219	219	219
Wed Sep 08 17:35:32 2021	1631115332	0	220	220	219
Wed Sep 08 17:35:34 2021	1631115334	0	222	222	221
Wed Sep 08 17:35:41 2021	1631115341	0	222	222	222
Wed Sep 08 17:35:34 2021	1631115334	0	223	223	222
Wed Sep 08 17:35:41 2021	1631115341	0	226	226	225
Wed Sep 08 17:35:38 2021	1631115338	0	230	230	229
Wed Sep 08 17:35:34 2021	1631115334	0	233	233	233
Wed Sep 08 17:35:28 2021	1631115328	0	234	234	234
Wed Sep 08 17:35:32 2021	1631115332	0	236	236	235
Wed Sep 08 17:35:44 2021	1631115344	0	236	236	235
Wed Sep 08 17:35:40 2021	1631115340	0	236	236	236
Wed Sep 08 17:35:39 2021	1631115339	0	238	238	237
Wed Sep 08 17:35:45 2021	1631115345	0	238	238	238
Wed Sep 08 17:35:40 2021	1631115340	0	239	239	239
Wed Sep 08 17:35:33 2021	1631115333	0	241	241	240
Wed Sep 08 17:35:27 2021	1631115327	7	234	242	233
Wed Sep 08 17:35:41 2021	1631115341	0	248	248	245
Wed Sep 08 17:35:34 2021	1631115334	0	253	253	253
Wed Sep 08 17:35:34 2021	1631115334	0	254	254	254
Wed Sep 08 17:35:40 2021	1631115340	0	256	256	256
Wed Sep 08 17:35:41 2021	1631115341	0	256	256	253
Wed Sep 08 17:35:40 2021	1631115340	0	260	260	259
Wed Sep 08 17:35:39 2021	1631115339	0	261	261	260
Wed Sep 08 17:35:33 2021	1631115333	0	263	263	262
Wed Sep 08 17:35:28 2021	1631115328	0	265	265	264
Wed Sep 08 17:35:33 2021	1631115333	0	266	266	265
Wed Sep 08 17:35:40 2021	1631115340	0	266	266	265
Wed Sep 08 17:35:27 2021	1631115327	6	262	268	261
Wed Sep 08 17:35:33 2021	1631115333	0	269	269	268
Wed Sep 08 17:35:33 2021	1631115333	0	271	271	271
Wed Sep 08 17:35:40 2021	1631115340	0	275	275	235
Wed Sep 08 17:35:35 2021	1631115335	0	275	275	275
Wed Sep 08 17:35:27 2021	1631115327	7	269	276	268
Wed Sep 08 17:35:40 2021	1631115340	0	276	276	276
Wed Sep 08 17:35:44 2021	1631115344	0	276	276	276
Wed Sep 08 17:35:41 2021	1631115341	0	278	278	277
Wed Sep 08 17:35:34 2021	1631115334	0	287	287	284
Wed Sep 08 17:35:41 2021	1631115341	0	287	287	286
Wed Sep 08 17:35:44 2021	1631115344	0	290	290	289
Wed Sep 08 17:35:39 2021	1631115339	0	292	292	291
Wed Sep 08 17:35:40 2021	1631115340	0	292	292	272
Wed Sep 08 17:35:40 2021	1631115340	0	295	295	274
Wed Sep 08 17:35:40 2021	1631115340	0	298	298	297
Wed Sep 08 17:35:39 2021	1631115339	0	302	302	302
Wed Sep 08 17:35:28 2021	1631115328	0	303	303	287
Wed Sep 08 17:35:40 2021	1631115340	0	305	305	304
Wed Sep 08 17:35:40 2021	1631115340	0	305	305	304
Wed Sep 08 17:35:40 2021	1631115340	0	306	306	304
Wed Sep 08 17:35:33 2021	1631115333	0	306	306	305
Wed Sep 08 17:35:27 2021	1631115327	4	304	308	303
Wed Sep 08 17:35:39 2021	1631115339	0	313	313	312
